start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,    pageflips
2024-10-03T14:31:45Z,2024-10-03T14:58:11Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,1586000,107
2024-10-03T14:58:32Z,2024-10-03T15:02:14Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,222100,12
2024-10-03T15:03:22Z,2024-10-03T15:07:29Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,246600,1
2024-10-03T15:11:14Z,2024-10-03T15:37:41Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,1587000,179
2024-10-03T15:38:40Z,2024-10-03T15:46:35Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,474600,36
2024-10-03T15:47:55Z,2024-10-03T15:57:54Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,598700,54
2024-10-03T15:58:04Z,2024-10-03T16:02:21Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,256600,25
2024-10-03T16:04:33Z,2024-10-03T16:20:46Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,972800,58
2024-10-03T16:21:20Z,2024-10-03T16:21:26Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,5900,1
2024-10-03T16:23:52Z,2024-10-03T16:25:48Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,116700,9
2024-10-03T16:29:37Z,2024-10-03T16:40:28Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,650800,51
2024-10-03T16:41:38Z,2024-10-03T16:43:53Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,134300,13
2024-10-03T16:46:21Z,2024-10-03T16:46:44Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,23500,4
2024-10-03T16:47:12Z,2024-10-03T16:53:22Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,369500,47
2024-10-03T16:54:07Z,2024-10-03T17:10:58Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,1011200,59
